//Data is stored from address 1000
11111111111111111111111111111100 //-4
00000000000000000000000000001011 //11
00000000000000000000001110011100 //924
11111111111111111111111010111100 //-324
00000000000000000000001000011110 //542
00000000000000000000000001011110 //94
11111111111111111111111111111111 //-1
00000000000000000000000000100000 //32
00000000000000000000000000101101 //45
11111111111111111111111110100010 //-64
00000000000000000000000000000101 //5
00000000000000000000001111101000 //1000
00000000000000000000000000000000 //0
00000000000000000000011111100101 //2021
00000000000000000000000000000001 //1
00000000000000000000000000010010 //18
11111111111111111111111111101110 //-18
00000000000000000000000000011111 //31
00000000000000000000000011011110 //222
11111111111111111111111111110111 //-9
